PONumber,Date Submitted,ASN Done,ASN Date Submitted,Order Date

Date Submitted,ASN Done?,ASN Date Submitted,Order Date
5/3/2021 12:50:56 PM,Yes,05/05/2021 05:29:16 PM,2021-05-03
7418887899,3/22/2021 12:47:30 PM,Yes,03/24/2021 07:44:34 PM,2021-03-22
7870153596,3/22/2021 12:47:29 PM,Yes,03/24/2021 07:46:25 PM,2021-03-22
6970093719,3/22/2021 12:47:28 PM,Yes,03/24/2021 07:47:15 PM,2021-03-22
9823638111,3/22/2021 12:47:27 PM,Yes,03/24/2021 07:48:28 PM,2021-03-22
8271632436,3/22/2021 12:47:25 PM,Yes,03/24/2021 07:50:51 PM,2021-03-22
9868848190,3/22/2021 12:44:34 PM,Yes,03/24/2021 07:55:10 PM,2021-03-22
6723817423,3/22/2021 12:44:31 PM,Yes,03/24/2021 07:56:41 PM,2021-03-22
6168957805,3/22/2021 12:44:28 PM,Yes,03/24/2021 07:58:08 PM,2021-03-22
5869864630,3/22/2021 12:44:25 PM,Yes,03/24/2021 07:59:14 PM,2021-03-22
4223847030,3/22/2021 12:44:23 PM,Yes,03/24/2021 08:30:17 PM,2021-03-22
6820663708,3/22/2021 12:44:20 PM,Yes,03/24/2021 08:32:24 PM,2021-03-22
3919654922,3/22/2021 12:44:16 PM,Yes,03/24/2021 08:33:31 PM,2021-03-22
2769605080,3/22/2021 12:44:13 PM,Yes,03/24/2021 08:34:40 PM,2021-03-22
2469245168,3/22/2021 12:44:10 PM,Yes,03/24/2021 08:36:33 PM,2021-03-22
6319225623,3/22/2021 12:44:06 PM,Yes,03/24/2021 08:37:36 PM,2021-03-22
3770074607,3/22/2021 12:44:03 PM,Yes,03/24/2021 08:38:49 PM,2021-03-22
3769625013,3/22/2021 12:44:01 PM,Yes,03/24/2021 08:41:16 PM,2021-03-22
4269624946,3/22/2021 12:43:57 PM,Yes,03/24/2021 08:42:05 PM,2021-03-22
6469225295,3/22/2021 12:43:54 PM,Yes,03/24/2021 08:43:23 PM,2021-03-22
4669595012,3/22/2021 12:43:51 PM,Yes,03/24/2021 08:44:25 PM,2021-03-22
2169166370,3/22/2021 12:43:49 PM,Yes,03/24/2021 08:45:25 PM,2021-03-22
6122401577,3/22/2021 12:43:48 PM,Yes,03/24/2021 08:46:16 PM,2021-03-22
2421542810,3/15/2021 12:18:17 PM,Yes,03/16/2021 05:37:24 PM,2021-03-15
7369055749,3/15/2021 12:18:10 PM,Yes,03/16/2021 05:42:02 PM,2021-03-15
7719195942,3/15/2021 12:18:06 PM,Yes,03/16/2021 05:43:02 PM,2021-03-15
8326302480,3/15/2021 12:18:03 PM,Yes,03/16/2021 05:44:39 PM,2021-03-15
5669215709,3/15/2021 12:17:59 PM,Yes,03/16/2021 05:47:05 PM,2021-03-15
5869864428,3/15/2021 12:17:56 PM,Yes,03/16/2021 05:49:19 PM,2021-03-15
7971632230,3/15/2021 12:17:53 PM,Yes,03/16/2021 05:51:21 PM,2021-03-15
4223846808,3/15/2021 12:17:49 PM,Yes,03/16/2021 05:53:13 PM,2021-03-15
7418887659,3/15/2021 12:17:46 PM,Yes,03/16/2021 05:56:17 PM,2021-03-15
6723817195,3/15/2021 12:17:43 PM,Yes,03/16/2021 05:58:57 PM,2021-03-15
5924205095,3/15/2021 12:17:40 PM,Yes,03/16/2021 06:32:40 PM,2021-03-15
8570153639,3/15/2021 12:17:36 PM,Yes,03/16/2021 06:36:26 PM,2021-03-15
7870153398,3/15/2021 12:17:32 PM,Yes,03/16/2021 06:37:51 PM,2021-03-15
6970093530,3/15/2021 12:17:30 PM,Yes,03/16/2021 06:38:59 PM,2021-03-15
5871432349,3/15/2021 12:17:26 PM,Yes,03/16/2021 06:48:37 PM,2021-03-15
8268936844,3/15/2021 12:17:22 PM,Yes,03/16/2021 06:50:26 PM,2021-03-15
4269624750,3/15/2021 12:17:19 PM,Yes,03/16/2021 06:52:57 PM,2021-03-15
6122401389,3/15/2021 12:17:16 PM,Yes,03/16/2021 06:54:02 PM,2021-03-15
8271632245,3/15/2021 12:17:12 PM,Yes,03/16/2021 06:56:38 PM,2021-03-15
9868847965,3/15/2021 12:14:53 PM,Yes,03/16/2021 06:56:31 PM,2021-03-15
3770074407,3/15/2021 12:14:42 PM,Yes,03/16/2021 07:13:14 PM,2021-03-15
3919654704,3/15/2021 12:14:39 PM,Yes,03/16/2021 07:20:53 PM,2021-03-15
2469244959,3/15/2021 12:14:35 PM,Yes,03/16/2021 07:21:50 PM,2021-03-15
2421542616,3/15/2021 11:46:34 AM,Yes,03/16/2021 07:26:54 PM,2021-03-15
6168957591,3/15/2021 11:46:15 AM,Yes,03/16/2021 07:31:53 PM,2021-03-15
9669864613,3/15/2021 11:46:11 AM,Yes,03/16/2021 07:39:58 PM,2021-03-15
8925373526,3/15/2021 11:46:09 AM,Yes,03/16/2021 07:40:51 PM,2021-03-15
2769604882,3/15/2021 11:46:03 AM,Yes,03/16/2021 07:41:51 PM,2021-03-15
6820663520,3/15/2021 11:45:59 AM,Yes,03/16/2021 07:56:13 PM,2021-03-15
6470903197,3/15/2021 11:45:56 AM,Yes,03/16/2021 08:01:50 PM,2021-03-15
9823637894,3/15/2021 11:45:51 AM,Yes,03/16/2021 08:04:15 PM,2021-03-15
1420773341,3/15/2021 11:45:47 AM,Yes,03/16/2021 08:05:32 PM,2021-03-15
2369235538,3/15/2021 11:45:44 AM,Yes,03/16/2021 08:09:28 PM,2021-03-15
6319225429,3/15/2021 11:45:35 AM,Yes,03/16/2021 08:11:32 PM,2021-03-15
4669594799,3/15/2021 11:45:33 AM,Yes,03/16/2021 08:12:43 PM,2021-03-15
4870054366,3/8/2021 12:55:37 PM,Yes,03/09/2021 06:01:06 PM,2021-03-08
2469244754,3/8/2021 12:53:40 PM,Yes,03/09/2021 05:36:21 PM,2021-03-08
2369235345,3/8/2021 12:53:36 PM,Yes,03/09/2021 05:39:18 PM,2021-03-08
2421542414,3/8/2021 12:45:27 PM,Yes,03/09/2021 05:42:25 PM,2021-03-08
5669215498,3/8/2021 12:45:25 PM,Yes,03/09/2021 05:44:14 PM,2021-03-08
7719195738,3/8/2021 12:45:24 PM,Yes,03/09/2021 05:51:59 PM,2021-03-08
9824943615,3/8/2021 12:45:23 PM,Yes,03/09/2021 05:53:24 PM,2021-03-08
7971632067,3/8/2021 12:45:22 PM,Yes,03/09/2021 05:54:51 PM,2021-03-08
5869864232,3/8/2021 12:45:21 PM,Yes,03/09/2021 05:57:38 PM,2021-03-08
8326302290,3/8/2021 12:45:19 PM,Yes,03/09/2021 05:59:04 PM,2021-03-08
4223846570,3/8/2021 12:45:18 PM,Yes,03/09/2021 06:09:44 PM,2021-03-08
5924204889,3/8/2021 12:45:17 PM,Yes,03/09/2021 06:11:30 PM,2021-03-08
8925373326,3/8/2021 12:45:16 PM,Yes,03/09/2021 06:13:10 PM,2021-03-08
3770074207,3/8/2021 12:45:14 PM,Yes,03/09/2021 06:14:30 PM,2021-03-08
8268936617,3/8/2021 12:45:13 PM,Yes,03/09/2021 06:15:58 PM,2021-03-08
6970473493,3/8/2021 12:45:12 PM,Yes,03/09/2021 06:16:56 PM,2021-03-08
7870153199,3/8/2021 12:45:11 PM,Yes,03/09/2021 06:18:04 PM,2021-03-08
4669594601,3/8/2021 12:45:09 PM,Yes,03/09/2021 06:20:17 PM,2021-03-08
8271632081,3/8/2021 12:45:08 PM,Yes,03/09/2021 06:21:15 PM,2021-03-08
9868847760,3/1/2021 12:52:02 PM,Yes,03/02/2021 04:11:20 PM,2021-03-01
